texto,sentimento
ser honesto absurdo inacreditável tolo,0
conclusão preocupar filme vulcão disparate,0
enredo simplesmente horrível,0
apenas doloroso,0
acentos absolutamente abismal,0
hipocrisia suficiente filme fazer vomitar,0
desperdice tempo assistindo filme não-pesquisado lixo,0
acredito pitch black bem feito,1
personagens interessantes quiser saber tempo filme passa acho pessoas surpreender faz fazê-lo,1
vê-lo,1
omitir vendo,0
engraçado,1
classificação apenas,0
personagens interessantes realmente importa,1
clássico instantâneo grande banda sonora canção cativante créditos finais,1
perca,1
peça magistral produção filmes temas fervendo ocasionalmente fervendo verrugas estudo boêmia poeta anos tempo guerra auto-indulgente abrangem bombardeios aéreos londres exterior tranquilidade retiro costeira welsh fronteiras amizade desejo amor dedicação arte experiência interesses práticos ciúme rivalidade covardia egoísmo heroísmo auto-sacrifício mais,1
amadurecer roteiro sutil sugere ocasionalmente traz foco dramática tensões subjacentes bem servida performances perfeitas além estranha inapropriado sorrindo keira propenso talvez direção vez personagens vezes mencionam,1
acima composição visual requintado momento uso inventivo elegante close-up ângulo câmera iluminação incluindo pointillistic faux filme caseiro metragem maravilha alegria olhos,1
continuamente bonito olhar bertolucci relações aqui convincentes narrativa envolvente trabalho mestre,1
premissa básica desperdiçado vez afastado foco inexplicável equipe documentário,0
independentemente filme falha maioria níveis,0
evitar custo,0
vi filme natal grande filme era,1
pensei errol flynn brilhante custer então tornou ator favorito,1
atuação lado olivia havilland brilhante final fantástico,1
sempre soube errol flynn ator brilhante pais ator favorito cresci assistindo filmes criança,1
assisti filme percebi quão grande realmente era,1
dar filme,1
sei jim oconnor enérgico ser tanto quanto george bem monótona,0
realmente querer ser hospedagem voz-overs monótonas envolveu convidados,0
thriller encantador hitchcock nice travessuras torno espião assassinado criança sequestrada igreja desagradável trama estrangeira taxidermistas aleatórios,1
jimmy stewart sempre grande herói hitchcock história rasga junto clímax legal função embaixada falta-lhe ameaça ninhada preto branco original baixo orçamento hitchcock,1
ainda entanto filme maravilhoso estável grande mestre,1
dizer filme excelentemente produzida tops classificações filme típico sci,1
excelentemente produzido melhores produtores sci-fi scot vandiver,1
divertido entanto,1
exagerado filme alegria assistir,1
apenas momento chato filme abundância peças humorísticas,1
elenco sempre divertido costume,1
geral delícia,1
filme tão mente-bendingly terrível criado,0
filme carece sustos reais tensão terminologia médica usada pouco duvidoso dizer mínimo & dizer diabético insulino-dependente mim,0
menos dito agir melhor,0
filme faz excelente trabalho revelar complexidade tarefa desafios incríveis enfrentam áfrica sul,1
acredito ver filme acho pessoas áfrica sul passado tentada processo verdade reconciliação,1
nada menos magnífico fotografia cinema filme,1
qualidade fantástica histórias perfeitamente entrelaçados cães esplêndidos alugar visão ver,1
medo legendas vale aversão terapia,1
excelente desempenho,1
ainda bons atores todas,1
excelente direção fotografia,1
fiel shakespear must fãs shakespear,1
macbeth jason connery monólogo final fora breve vela fora deu esfera decadência escuras forças morais rosto humano torna ainda interessante,1
helen baxendale senhora credível macbeth ser cheerfull vezes vezes parece apenas garota malvada mortal gosto sangue mal,1
ama letras shakespears morte decadência única,1
espirituoso adaptação deliciosa livro dr seuss brilhantemente animado melhor upa completamente merecedora oscar,1
menção especial feita partitura música efeitos sonoros excelentes elemento integral ajudar fazer memorável cartoon agradável,1
entanto paul schrader fato fez filme mishima excelente & complexa,1
notável bem nítido john bailey lindamente cinematografia colorido grande projeto produção figurinos eiko ishioka passou fazer figurinos memoráveis ​​para drácula coppola recebeu oscar merecido,1
tendo conta valores produção pobres época 1971 formato espécie mini-série baaaaaad,0
menos apenas visualmente collect filmes existentes obra austen ignorar,0
fizer vê-lo entanto existem pequenas consolações atrizes jogar irmãs anne fazer trabalho maravilhoso papéis,1
falando música insuportavelmente previsível kitchy,0
seguida filme deixou bola cair,0
filme deslumbrante,1
raw movimento sublime,1
parecia peça teatro inteligente emocionante sentimento excessivamente teatral realmente fica assistir pessoas palco desempenha terror mentira branca escalada consequências monstruosas,1
principais fascinantes,1
tom quebrou coração final julgar quantidade desastrado lenços mãos indo rostos homens mulheres igualmente,1
julian fellowes triunfou novamente,1
tesouro nacional,1
vá veja,1
excelente filme,1
cenas aéreas bem-feito,1
equilíbrio guerra amor,1
filme dá significado frase nunca história conflito humano tanta sido devido poucos,1
kris bom filme realmente faz diferença,1
bom filme grande diretor,1
definitivamente melhores documentários vi olhando relações familiares casamento,1
erros continuidade usuário comentou carros diferentes garagem copos joe fato configuração pêlos faciais joe pareceu mudar cena cena,0
apenas grande filme,1
estrelas,1
ver filme ser inspiração pessoa sair superar medo rejeição,0
tão ruim realmente vale pena ver apenas motivo,0
punishment park brilhante peça cinema,1
tiro deserto sul califórnia usando estilo falso documentário patente watkins cria filme outro,1
peter watkins filmes acessíveis,1
aconselho olhar,1
arrepender,1
altamente recomendado +,1
bem pensando ruim,0
peça medíocre miserável oca risível previsível lixo,0
tão ruim risível,0
mau desempenho desempenha angela bennett especialista computadores casa tempo,0
filme apenas pretexto mostrar cenas ação ridículas,0
quão terrível é,0
ainda má atriz repetindo movimentos faciais robóticos fotos,0
resultados bem vergonha,0
apagar filme mente,0
piores apresentações tempos,0
show começaria espertinho ed comentários totalmente parede desnecessário,0
computador geek gordura inacreditável batedor bíblia menina mau-burro atores,0
nunca ouvi falar nenhum cole totalmente inacreditável peça,0
vez abriu boca espera ouvir vê crianças puxar plugue matança misericórdia espectáculo horrível,0
histórias tão inacreditável quanto atores,0
lame melhor maneira descrevê-lo,0
stanwyck morgan perfeitamente escalado é aspectos equivalente moderno dickens christmas carol sensibilidade,1
sucesso filme depende fundição sydney greenstreet personagem alexander yardley,1
conjunto atraente usado maior parte filme jóia olho-agradável,1
im grande jogos rpg também filme desgraça rpger preze existe,0
linhas cortes áudio errado,0
encontrar melhores filmes youtube,0
linha superior desperdice tempo dinheiro presente tão ruim quanto trata,0
filme lassie posto dormir sempre,0
assim descreveria perda tempo dolorosamente triste filme,0
tão aspectos torna maçante bagunça desinteressante filmes esquecíveis vi,0
sequer conquista filme é-memoráveis ​​tão ruim,0
casca vazia oca filme,0
sério vale pena desperdiçar tempo filho diante,0
evite evite evite,0
latindo louco,0
transferências bons,1
agradável relaxante visualização tarde noite,1
filme cheio dança maravilhosa aí título,1
boa música excelente paisagem,1
lida problemas difíceis dignidade graça claro chocando saqueador aqui,1
feliz maravilhoso sensação final,1
ponto viagem viagem toca membro família,1
filmes preciso ver sempre vem tv importa fato memorizado,1
novo lá,0
feito filme,0
filme quase cenas ação pouco comédia,0
trama furos meias arrastão direcção edição surpreendentemente presunto punhos,0
terra irons fazendo filme,0
vi filme recomendo,1
bom enredo mantém atenção completa qualidade excelente fantástico emily watson bom,1
filme bom verdade grande incondicional amor,1
personagem homem preparado provação prestes começar leva assunto avanços história grande ator dá desempenho faz sentir angústia sofrimento personagem,1
personagem emily watson forte apenas dar rápida olhada entende,1
apesar panelas usuários gostei filme,1
verdade gostei melhor entrevista vampiro lestat stuart townsend melhor tentativa cruise,1
aailiyah bom bonito akasha lugares atraentes primeira entrada cena mini-dança,1
grande fã série principalmente devido estilo sensibilidades tratamentos anne rice,1
acho gostei detalhes disfunção crível,1
cenas futebol final desconcertante,0
pensei atuação hábil,1
meredith melhor bem,1
filme charmoso sentimento coração maravilhoso,1
raro cineasta toma tempo contar conto moral digna cuidado amor caia armadilha ser excessivamente xaroposo indulgente,1
verdadeiramente encantador filme,1
filme cedo futuro goremeister lucio fulci adição boa sub-gênero giallo,1
melhores thrillers italianos início anos,1
cena destaque,1
cena forte desagradável,0
tecnicamente filme bem feito impressionante trabalho câmera atuação sólida música eficaz particularmente bom vocal feminino desacompanhada recorrente soa vindo colina distante,1
ainda material selvagem altamente recomendado fãs giallo,1
filme interessante começo fim,1
gostei forma personagem dustin hoffman pronto fazer quase ficar filho,1
filme revelador,1
pessoalmente acho mostra pessoas aprender encontrar compromisso auto-los envolver pessoas questão,1
chato,0
tão cansado clichês apenas escrita preguiçoso aqui vêm grosso rápido,0
única cena filme legal personagem central encontra quarto explodido,1
fresco sutil efeito bastante sublime,1
revisor italiano chamou pequena grande filme certo,1
atores dar desempenho maravilhoso especialmente jennifer rubin jamie harris muda partir starlet nervoso início através estranhos acontecimentos faz parte estrela legal,1
aprende real dentro emoções pessoas filme próprio negócio cinema,1
filme situações cinema início através jogo jogado treinador agindo fascinantes,1
música mark snow possivelmente melhor pontuação ouvi,1
esquecer filme,1
filme feito,0
filme olhar ultra-barato,0
resultado filme simplesmente parece certo,0
envolvente emocionante,0
enredo absurdo interessa pouco maneira ter exclusividade,0
estrangeiro vale tempo,0
vi criança costas tv 1973 the stranger adorei,1
dueto astronauta médico início filme troca perfeita considera filme feito bem guerra maior medo astronauta caiu urss,1
filme tão incrível,1
adorei realmente assustador,1
amo filmes gritar filmes terror fileiras caminho lá,1
quiser verdadeiro susto alugar,1
10/10,1
filme extraordinário,1
drama tribunal atraente acusação sistema justiça americano assustador,1
filme destaca falhas fundamentais processo legal descoberta culpa inocência sim apresenta tribunal,1
filme bem ritmado melhores documentários tribunal vi,1
drama principalmente rotina tv baseada fatos recebe impulso desempenho bem cole,1
previsível má relógio,1
ficou claro alcance capacidade retirar parte,1
carrega poço filme,1
constantino dá intensidade certa ter boa compreensão motivações psicológicas subjacentes,1
maravilhoso inspirador assistir espero fica liberado novamente vídeo dvd,1
pedaço lixo nunca lançado além atuação história personagens efeitos supostamente especiais etc errado,0
verdade stinker cheira liberação direct-to-video,0
evitar custos,0
star trek v the final frontier pior série,0
atuação envolvidos inclui shatner nimoy ruim lavado fazendo pareçam tão antiga olham vida real efeitos especiais brega spock resgatar kirk cai baixo montanha,0
tentativas humor patético história tão dosent pensamento urso basicamente envolve vulcan roubando enterprise encontrar sério apenas importava cinema mencionar uhura faz dança ventre distrair guardas sexo masculino,0
único lugar bom filme lixo,0
série,0
editar edição filme fenomenal opinião,1
música explicar emoções indivíduos melhores vida infeliz jay adams assunto conversa canção neil young tocada evoca emoções,1
fotografia filme filmado maneira interessante,1
claro imagens anos granulada aumentou filme,1
filme oferece delícias surpresas,1
achille philippa lindamente cantar dueto giovanni descreve perfeitamente situação filme aprecia camadas sutis excelente filme,1
desdobra história século jutlândia uso música período jogado instrumentos época apenas toque fino,1
compartilha alegria requintado general loewenhielm participação cailles apenas assistindo filme desejo apenas pequena amostra saborear,1
discreto folhas cinema impressão duradoura,1
calor gera contraste pano fundo austero,1
sair cinema querendo sair dançar estrelas,1
atuação esperar elenco top linha,1
personagens aprofundados surpreendentemente bem particularmente grimes blake atores entregar linhas acentuadamente script apenas quantidade língua inexpressivo rosto fazer diálogo tanto hilariante realista,1
angus scrimm transforma bom desempenho pouco breve papel memorável delicadamente ameaçador anatomista-tocando violino doctor quinn,1
conclusão adorei,1
longo tempo tão entretidos filme,1
luta encontrar ruim dizer,1
marque palavras cult evil dead phantasm pessoas ainda descobrindo apaixonando 20 baixo linha,1
bastante surpreendente filme maravilhoso feito hollywood geralmente cabeças coletivas areia questões preto branco época,1
filme merece elogios fortes tomar posição ter atuação excepcional elenco maioria menos conhecido script super-inteligente insulta público tomar caminho fácil trata racismo branco,1
além orçamento bastante modesto filme rápido tempo execução faz trabalho incrível,1
juano hernandez ator excepcional interpretou papéis filmes época suporte homem orgulhoso preto acusado assassinar homem branco sul,1
trumbull lucy,1
veja-o filhos chance abrir diálogo surpreendente quão longe relações raciais últimos,1
ver puder,1
ano entanto lembrou huston ainda topo jogo evidenciado fiel adaptação romance aclamado james the dead,1
sentimentos pensamentos desconforto gabriel dança intangíveis saltar vida chegar alcance espectador retrato huston,1
decepcionado estar lista oscar,0
lento,0
monte buracos trama tornou imperador onde gastar infância idade adulta,0
desperdice tempo,0
dias piores filmes ação grande orçamento vi,0
certamente sabe fazer filme ação coerente roteirista air one obrigado escrever roteiro apenas grande soma dinheiro,0
piores filmes vi,0
ainda tentando superar ruim era,0
filme é possivelmente obras criativas horror nunca,1
querer suspense drama comédia subtramas confuso nativos americanos comer cérebro procurando ser-end-todos filmes brainsucking procure mais,1
efeitos sonoros grandes efeitos especiais impressionantes recomendar filme,1
porca acho melhores filmes sempre,1
grandes caráter telly savalas peter boyle,1
hora puro tédio melodrama agir horrível bagunça script sentimento afundamento bom deus pensando,0
buracos roteiro,0
filme ruim horas tv,0
agora imagine decisões feito errado,0
diálogo atroz,0
qualidade além abismal,0
fede,0
problema escrever dirigir tornam impossível estabelecer coisas fazem watchable filme caráter história tema assim diante,0
pior sub-trama incrivelmente fraco jogado segue pequeno grupo mansonites últimos repórter trabalhando reportagem aniversário assassinatos,0
idiota sentido completa perda tempo,0
suma incomodam filme,0
desperdiçá-la terminando bastante surpreendente,1
melhor cena filme final desperdiçá-la,1
vez indicação escritor capacidade diretor fundir altamente voláteis união perfeita criatividade então,1
resultado realização potência fez oportuna agora talvez causa perturbar fascínio cultura celebridade interpretações distorcidas fama,1
filme facilmente esquecido,1
kevin spacey excelente tsunami verbal buddy ackerman totalmente crível grande ator,1
script comédia sutil inigualável filme últimos,1
personagens interessantes pouco previsível,1
altamente recomendado idades jovens provavelmente apreciar referências sutis certamente apreciar cena galley particular,1
filme,1
história agir fracos,0
volta 16:00 comprei volta comecei assistir volta 20:15 rápido transmitiu filme restante ver havia coisa assistível ser humano cérebro havia,0
maneira porcaria,0
roteiro terrivelmente estúpido,0
história começa rápido absolutamente suspense mínima,0
capitão howdy diz risível simplesmente estúpido,0
raio merda,0
então enredo buracos,0
dirigir caminhão buracos,0
linda cardellini única coisa boa filme,1
equilibrado surpreendente,1
dee snider simplesmente porcaria,0
agir vilões assustadores vi write escreveu filme maldito sono,0
entediado longo maldita coisa,0
atuação suga música porcaria script porcaria ritmo porcaria fx especial chupar direção porcaria basicamente filme porcaria,0
filme tenta ser sério sofisticado suspense filme terror falhar miseravelmente,0
provavelmente filmes menos eficazes totalmente banal vi vida,0
pedaço lixo cinematográfico capturada celulóide,0
evitar custo,0
forma fede cinema engraçado fulci ficado giallo filmes zumbis sobrenaturais,0
evitar filme custo,0
sei aconteceu quinta temporada confusão,0
rosca única consistente segurando série performances surpreendentes leni parker anita laselva taelons conflito idealogical tranquila,0
agora filme realmente gosto,0
filmes chato terror anos principalmente começa lento centros ambiente chato,0
bonecos olhar realmente brega bom caminho filmes anos puppet master,0
história coxo interessante nunca realmente explica origens sinistras bonecos,0
cenas morte filmes anteriores f terríveis,0
dormindo vez assisti-lo recomendá-lo insones,0
fato filme maravilhoso reconfortante conto pessoas perseguindo sonhos,1
melhor parte enfermeira betty imprevisibilidade,1
diretor neil labute usa violência brutal sonhos separados realidade drama comovente hilariante comédia nunca dizer acontecer seguir,1
contrário sequer desperdiçar tempo,0
apenas criar suspense real,0
assassino espere originais remotamente assustadora,0
há entanto boa atuação menos filme,1
sinto muito realmente recomendo ninguém,0
chatas filmes sentido vi,0
linha trama secundário incompreensível relação linha trama primária mistificante,0
odiava,0
piores filmes sandra bullock speed ​​2 tão ruim,0
entendo lixo prateleiras loja filme filme real,0
duvido podia assim lixo,0
criação filme,0
atuação assistir bonecos madeira movimento redor leitura livro ruim,0
então aqui avisá-lo filme coisa estúpida nunca viu,0
vi filme curto hbo dia absolutamente entes,1
percebi maravilhoso curto realmente últimas cenas,1
excelente curta-metragem,1
felizmente diretor james cox transformar curta longa-metragem elenco ganhar-nos filme totalmente novo,1
concordo jessica filme ruim,0
personagens unidimensionais bons especialmente bandidos,0
enredo totalmente previsível,0
diálogo música filme rodado tão elaborada esteticamente escultura,1
vi novelas inteligentes filme,0
caracteres mau mau história atuação ruim,0
realmente terrível,0
fácil assistir,0
engraçado inteligente hip assim filme anterior pray hype,1
longo período tempo ver ator tão carismático tela,1
paolo sorrentino escrito história maravilhosa solidão tony construiu inesquecíveis personagens vistos filmes últimos,1
filme perfeito completamente titta di girolamo ficar longo tempo visão filme,1
tarifa filme,1
sei estréia direção emilio estevez ritmo interação desenvolvimento personagens bem trabalho câmera inteligente torno caráter estevez joga sugere olhar natural,1
interação martin emilio contém química maravilhosa wall street martin charlie,1
kathy bates maravilhoso personagens desespero sutil escapismo variação personagem brincando campos senhor,1
leitores viram filmes miyazaki ainda melhor forma fez experiência válida,1
nunca condescende personagens têm bons corações genuínas problemas verossímeis,1
principais ser crianças crível vi colocar tela,1
tão fáceis ainda fácil identificar,1
filme grande especialmente gosta artes visuais,1
paisagem filhas pintura fotografia lindas,1
história engraçado comovente vezes,1
pessoas gostam filmes europeus filmes arte gostar filme,1
verdadeiramente filme arte realmente monte arte,1
alugá-la,1
entanto finalmente assistir filme percebi tido mente fechada brilho retrata encontrei-me vê-lo vez,1
único filme nunca deixa interessa simplesmente mantém alerta tento tentar decifrá-la significados,1
brilliance fato,1
gostou filmes ainda melhor seqüelas acho apreciar pensamento provocando mindblowing experiência filme dar,1
pense filme ser sonho,1
simplesmente lindo,1
rickman stowe desempenhar funções máximo conto escritor livro crianças who-- talvez escreveu trato subversivo,1
divertimento gloriosamente rápido representação bastante precisa noite raver,1
apresenta retrato idílico ainda grave altos baixos vida personagens,1
apenas faça fizer evitar sulco antítese bom tráfico humano,0
ruim envolvidos compartilhavam nível dedicação crowe qualidade fizessem melhor filme mãos sub-par bagunça,0
filme parecia pouco lento início,0
pegou velocidade direto ponto,1
mostrou exatamente governo eo cientista argumentou humanidade razões aparelho,1
gostei,1
recomendado amigos,1
fiquei particularmente satisfeito capacidade agindo dwight schultz,1
atores realmente entender tornar-se caráter particular entregando convincente desempenho sincero,1
química tela fundamental filme genuína,1
diálogo filme natural verdadeiro vida,1
escritor gorman bechard dúvida fez lição casa referências indústria caráter-idade apropriada,1
trilha sonora incrível realmente capta essência filme,1
sentimento faixa comandos verdade contribuindo cenas personagens,1
definitivamente vale pena ver,1
pensamento provocando filme obriga questionar próprio limite solidão,1
filme recente oitavo hayao miyazaki studio ghibili gake ponyo ponyo on the cliff the sea maravilhosamente olhar divertido imaginativo infância,1
altura parece cinema animação sido dominado obras-primas cgi disney pixar tanto refrescante reconfortante saber miyazaki ainda contando animação tradicional feito mão contar histórias encantadoras encantadoras,1
suficiente dito animação notável filme,1
estilo arte aparência desenhos infância lápis maravilhosamente colorido fantasioso,1
agir filme estar feliz afastar-se terra quanto,0
quer navegar pequena onda filmes espaciais deep falhar lugares,0
ainda engasgou próprio vômito final drama barato diálogo inútil ter furado-se morte desperdício tempo,0
ainda assim faz-se super terminando retrata grande embarcação mar retirados poderoso geada,1
basta considerar excelente história atuação sólida visual filme bônus adicionados,1
vez furo fest whiny babysitting criança mimada,0
então assisti-lo novamente atrás março comecei realmente apreciá-lo vez gravei coisa,1
tv movie bem atuado feito,1
judith light atrizes favoritas acho faz excelente trabalho filme,1
assistindo mais,1
filme triste bom,1
ainda viu filme definitivamente recomendo,1
tão linda costume cutie,1
ainda bastante interessante divertido seguir,1
recomendar confiança,1
filme bem equilibrado comédia drama desfrutamos,1
tumulto ver weaving desempenham vendedor gay imobiliário obcecado sexo usa casas clientes encontros darren flamejante tom,1
forma trama fluiu problemas cenas macho-ligação buzina,1
seqüência jóia abertura clássico jogos gato rato seguem delícia assistir,1
fãs gênero estarão céu,1
tornou-se grande atriz,1
parecia história maravilhosa,1
nunca filme rápido,0
entediado assistindo jessice lange tirar roupa,0
infelizmente virtude trabalho produção filme perdido roteiro lamentável,0
palavra embaraçoso,0
excepcionalmente mau,0
insulto inteligência enorme desperdício dinheiro,0
